"id","collection_id","element_id","element_type"
"1956","12","7144","Film"
"1957","22","7144","Film"
"1958","25","6762","Film"
"1960","10","1165","Film"
"1962","36","5401","Film"
"1964","2","7829","Film"
"1965","28","7829","Film"
"1966","2","8293","Film"
"1967","1","1358","Film"
"1968","1","844","Film"
"1969","1","2311","Film"
"1970","1","5751","Film"
"1972","2","2022","Film"
"1973","2","6306","Film"
"1976","2","4834","Film"
"1979","25","3303","Film"
"1980","39","729","Film"
"1981","16","1696","Film"
"1982","2","3561","Film"
"1985","42","492","Film"
"1988","25","8118","Film"
"1989","24","8118","Film"
"1991","10","9229","Game"
"1992","4","19180","Book"
"1993","18","19180","Book"
"1995","4","8551","Film"
"2000","4","8553","Film"
"2001","18","8549","Film"
"2002","24","8549","Film"
"2004","37","8548","Film"
"2005","46","1159","Film"
"2007","16","2588","Film"
"2008","4","6214","Film"
"2011","12","2914","Film"
"2014","18","1020","Film"
"2015","33","1020","Film"
"2016","12","5002","Film"
"2017","12","8004","Film"
"2018","12","2809","Film"
"2020","16","2643","Film"
"2022","3","2328","Film"
"2023","27","5314","Film"
"2024","3","5314","Film"
"2026","43","6974","Film"
"2028","8","1280","Film"
"2033","57","19066","Book"
"2034","36","19066","Book"
"2035","36","8557","Film"
"2036","10","8557","Film"
"2040","36","8556","Film"
"2041","23","8556","Film"
"2042","8","8556","Film"
"2043","2","5975","Film"
"2044","42","5975","Film"
"2045","2","6448","Film"
"2046","28","6448","Film"
"2047","12","4150","Film"
"2051","11","7972","Game"
"2052","25","7972","Game"
"2053","25","7331","Game"
"2054","11","7331","Game"
"2058","2","19185","Book"
"2059","2","19184","Book"
"2060","2","19183","Book"
"2061","8","10854","Game"
"2062","16","22825","Game"
"2063","19","5797","Game"
"2064","47","5797","Game"
"2066","11","10014","Game"
"2067","2","14542","Game"
"2070","27","16950","Game"
"2071","27","133","Game"
"2073","2","8564","Film"
"2074","2","7511","Film"
"2076","1","4549","Film"
"2077","12","4549","Film"
"2078","1","7130","Film"
"2079","2","4288","Film"
"2080","12","4288","Film"
"2081","2","4505","Film"
"2082","22","3038","Film"
"2084","10","3417","Film"
"2085","1","6217","Film"
"2087","2","2268","Film"
"2088","23","6144","Film"
"2090","2","8568","Film"
"2091","19","7987","Film"
"2094","1","8569","Film"
"2095","4","19103","Book"
"2096","57","17949","Book"
"2097","10","8571","Film"
"2098","16","2305","Film"
"2100","16","1565","Film"
"2101","16","93","Film"
"2103","2","6019","Film"
"2104","4","6019","Film"
"2105","33","1113","Film"
"2110","38","7846","Film"
"2111","46","7846","Film"
"2112","35","7846","Film"
"2113","2","1733","Film"
"2114","30","1733","Film"
"2115","38","1944","Film"
"2116","1","6086","Film"
"2119","30","1940","Film"
"2120","1","4399","Film"
"2122","25","6211","Film"
"2123","10","2247","Film"
"2125","25","2743","Film"
"2126","20","2873","Film"
"2127","12","1989","Film"
"2128","25","1989","Film"
"2130","16","6789","Film"
"2131","25","5658","Film"
"2132","46","880","Film"
"2133","3","8359","Film"
"2135","25","4536","Film"
"2137","22","2388","Film"
"2138","25","601","Film"
"2139","30","601","Film"
"2142","18","2928","Film"
"2143","2","5493","Film"
"2144","30","5493","Film"
"2145","47","8288","Film"
"2146","3","7789","Film"
"2147","1","8181","Film"
"2148","17","8181","Film"
"2149","38","8437","Film"
"2150","53","8437","Film"
"2151","35","8437","Film"
"2152","50","8437","Film"
"2153","46","541","Film"
"2155","28","2687","Film"
"2156","38","7961","Film"
"2157","25","985","Film"
"2158","12","1838","Film"
"2159","46","6258","Film"
"2163","36","8121","Film"
"2164","21","8121","Film"
"2165","23","8121","Film"
"2166","12","5487","Film"
"2167","4","5487","Film"
"2169","3","4934","Film"
"2170","51","24","Film"
"2171","51","5440","Film"
"2172","33","5045","Film"
"2173","11","3014","Book"
"2174","24","3014","Book"
"2175","11","19191","Book"
"2176","42","19191","Book"
"2177","24","19191","Book"
"2178","12","19192","Book"
"2179","12","15167","Book"
"2181","18","6460","Film"
"2182","10","5511","Film"
"2184","39","1065","Film"
"2185","39","5541","Film"
"2186","43","1231","Film"
"2187","30","6922","Film"
"2188","10","3521","Film"
"2189","27","6175","Film"
"2195","41","8586","Film"
"2198","9","9939","Game"
"2199","9","214","Game"
"2201","9","14465","Game"
"2202","1","7122","Film"
"2203","16","2635","Film"
"2205","10","6200","Film"
"2206","25","3357","Film"
"2207","48","4089","Film"
"2210","43","5209","Film"
"2211","10","5209","Film"
"2214","17","3723","Film"
"2216","35","4757","Film"
"2217","49","125","Film"
"2218","43","219","Film"
"2220","1","1153","Film"
"2222","1","887","Film"
"2223","12","1240","Film"
"2225","53","1297","Film"
"2228","17","6896","Film"
"2229","40","5687","Film"
"2230","56","606","Film"
"2231","12","3772","Film"
"2232","25","3772","Film"
"2234","42","7162","Film"
"2235","10","7161","Film"
"2236","20","7454","Film"
"2237","19","7454","Film"
"2238","23","1407","Film"
"2239","38","2671","Film"
"2240","58","3777","Film"
"2241","51","3390","Film"
"2242","54","3790","Film"
"2244","18","1771","Film"
"2245","22","16808","Game"
"2246","27","16808","Game"
"2247","21","1664","Film"
"2248","43","1664","Film"
"2249","37","4788","Film"
"2250","16","6590","Film"
"2251","1","7117","Film"
"2252","1","7099","Film"
"2253","16","7099","Film"
"2254","22","2392","Film"
"2255","51","5615","Film"
"2256","41","745","Film"
"2257","37","4357","Film"
"2258","25","3064","Film"
"2259","17","1658","Film"
"2260","44","5310","Film"
"2262","3","1931","Film"
"2263","48","3026","Film"
"2264","43","3377","Film"
"2265","46","2302","Film"
"2266","48","3113","Film"
"2267","19","2272","Film"
"2268","44","2188","Film"
"2269","44","324","Film"
"2270","33","3157","Film"
"2271","25","3157","Film"
"2273","23","6923","Film"
"2274","17","3883","Film"
"2275","12","3597","Film"
"2277","10","6666","Film"
"2278","25","703","Film"
"2279","25","6358","Film"
"2280","16","8606","Film"
"2282","3","8608","Film"
"2283","24","2242","Book"
"2284","16","5459","Film"
"2289","42","3870","Game"
"2291","25","5427","Film"
"2294","25","1857","Film"
"2296","1","6614","Film"
"2297","44","4445","Film"
"2298","1","7169","Film"
"2299","12","7169","Film"
"2300","46","7182","Film"
"2302","1","7188","Film"
"2304","1","7189","Film"
"2305","1","7190","Film"
"2306","46","4686","Film"
