"id","element_id","element_type","relation_id","to_id","to_type"
"33639","4030","Game","1","6202","Game"
"33640","6202","Game","2","4030","Game"
"33641","7694","Game","1","6202","Game"
"33642","6202","Game","2","7694","Game"
"33643","5889","Game","1","9290","Game"
"33644","9290","Game","2","5889","Game"
"33645","5692","Game","1","9290","Game"
"33646","9290","Game","2","5692","Game"
"33647","9434","Game","1","9290","Game"
"33648","9290","Game","2","9434","Game"
"33649","4030","Game","1","9290","Game"
"33650","9290","Game","2","4030","Game"
"33651","7694","Game","1","9290","Game"
"33652","9290","Game","2","7694","Game"
"33653","5692","Game","1","5889","Game"
"33654","5889","Game","2","5692","Game"
"33655","9434","Game","1","5889","Game"
"33656","5889","Game","2","9434","Game"
"33657","4030","Game","1","5889","Game"
"33658","5889","Game","2","4030","Game"
"33659","7694","Game","1","5889","Game"
"33660","5889","Game","2","7694","Game"
"33661","9434","Game","1","5692","Game"
"33662","5692","Game","2","9434","Game"
"33663","4030","Game","1","5692","Game"
"33664","5692","Game","2","4030","Game"
"33665","7694","Game","1","5692","Game"
"33666","5692","Game","2","7694","Game"
"33667","4030","Game","1","9434","Game"
"33668","9434","Game","2","4030","Game"
"33669","7694","Game","1","9434","Game"
"33670","9434","Game","2","7694","Game"
"33671","7694","Game","1","4030","Game"
"33672","4030","Game","2","7694","Game"
"33673","10127","Film","1","8349","Film"
"33674","8349","Film","2","10127","Film"
"33675","10128","Film","3","6913","Game"
"33676","6913","Game","3","10128","Film"
"33677","10132","Film","4","1041","Film"
"33678","1041","Film","4","10132","Film"
"33679","12561","Book","1","9094","Book"
"33680","9094","Book","2","12561","Book"
"33681","306","Game","3","10133","Film"
"33682","10133","Film","3","306","Game"
"33683","17120","Book","1","19583","Book"
"33684","19583","Book","2","17120","Book"
"33685","17120","Book","1","19746","Book"
"33686","19746","Book","2","17120","Book"
"33687","17120","Book","1","16809","Book"
"33688","16809","Book","2","17120","Book"
"33689","17120","Book","1","5993","Book"
"33690","5993","Book","2","17120","Book"
"33691","17120","Book","1","18424","Book"
"33692","18424","Book","2","17120","Book"
"33693","17120","Book","1","10251","Book"
"33694","10251","Book","2","17120","Book"
"33695","17120","Book","1","13273","Book"
"33696","13273","Book","2","17120","Book"
"33697","17120","Book","1","13429","Book"
"33698","13429","Book","2","17120","Book"
"33699","18665","Book","1","19583","Book"
"33700","19583","Book","2","18665","Book"
"33701","18665","Book","1","19746","Book"
"33702","19746","Book","2","18665","Book"
"33703","18665","Book","1","16809","Book"
"33704","16809","Book","2","18665","Book"
"33705","18665","Book","1","5993","Book"
"33706","5993","Book","2","18665","Book"
"33707","18665","Book","1","18424","Book"
"33708","18424","Book","2","18665","Book"
"33709","18665","Book","1","10251","Book"
"33710","10251","Book","2","18665","Book"
"33711","18665","Book","1","13273","Book"
"33712","13273","Book","2","18665","Book"
"33713","18665","Book","1","13429","Book"
"33714","13429","Book","2","18665","Book"
"33715","18665","Book","1","17120","Book"
"33716","17120","Book","2","18665","Book"
"33717","19811","Book","1","19583","Book"
"33718","19583","Book","2","19811","Book"
"33719","19811","Book","1","19746","Book"
"33720","19746","Book","2","19811","Book"
"33721","19811","Book","1","16809","Book"
"33722","16809","Book","2","19811","Book"
"33723","19811","Book","1","5993","Book"
"33724","5993","Book","2","19811","Book"
"33725","19811","Book","1","18424","Book"
"33726","18424","Book","2","19811","Book"
"33727","19811","Book","1","10251","Book"
"33728","10251","Book","2","19811","Book"
"33729","19811","Book","1","13273","Book"
"33730","13273","Book","2","19811","Book"
"33731","19811","Book","1","13429","Book"
"33732","13429","Book","2","19811","Book"
"33733","19811","Book","1","17120","Book"
"33734","17120","Book","2","19811","Book"
"33735","19811","Book","1","18665","Book"
"33736","18665","Book","2","19811","Book"
"33737","19812","Book","1","19583","Book"
"33738","19583","Book","2","19812","Book"
"33739","19812","Book","1","19746","Book"
"33740","19746","Book","2","19812","Book"
"33741","19812","Book","1","16809","Book"
"33742","16809","Book","2","19812","Book"
"33743","19812","Book","1","5993","Book"
"33744","5993","Book","2","19812","Book"
"33745","19812","Book","1","18424","Book"
"33746","18424","Book","2","19812","Book"
"33747","19812","Book","1","10251","Book"
"33748","10251","Book","2","19812","Book"
"33749","19812","Book","1","13273","Book"
"33750","13273","Book","2","19812","Book"
"33751","19812","Book","1","13429","Book"
"33752","13429","Book","2","19812","Book"
"33753","19812","Book","1","17120","Book"
"33754","17120","Book","2","19812","Book"
"33755","19812","Book","1","18665","Book"
"33756","18665","Book","2","19812","Book"
"33757","19812","Book","1","19811","Book"
"33758","19811","Book","2","19812","Book"
"33759","19813","Book","1","19583","Book"
"33760","19583","Book","2","19813","Book"
"33761","19813","Book","1","19746","Book"
"33762","19746","Book","2","19813","Book"
"33763","19813","Book","1","16809","Book"
"33764","16809","Book","2","19813","Book"
"33765","19813","Book","1","5993","Book"
"33766","5993","Book","2","19813","Book"
"33767","19813","Book","1","18424","Book"
"33768","18424","Book","2","19813","Book"
"33769","19813","Book","1","10251","Book"
"33770","10251","Book","2","19813","Book"
"33771","19813","Book","1","13273","Book"
"33772","13273","Book","2","19813","Book"
"33773","19813","Book","1","13429","Book"
"33774","13429","Book","2","19813","Book"
"33775","19813","Book","1","17120","Book"
"33776","17120","Book","2","19813","Book"
"33777","19813","Book","1","18665","Book"
"33778","18665","Book","2","19813","Book"
"33779","19813","Book","1","19811","Book"
"33780","19811","Book","2","19813","Book"
"33781","19813","Book","1","19812","Book"
"33782","19812","Book","2","19813","Book"
"33783","19814","Book","1","18189","Book"
"33784","18189","Book","2","19814","Book"
"33785","19814","Book","1","18673","Book"
