"id","person_id","genre_id","weight","element_type"
"230","4146","15","1","Book"
"231","4146","7","1","Book"
"232","9197","15","5","Book"
"233","9197","7","3","Book"
"234","2220","3","2","Book"
"235","2220","5","1","Book"
"236","8387","5","2","Book"
"237","8387","7","2","Book"
"238","8387","3","1","Book"
"239","3384","5","5","Book"
"240","3384","3","4","Book"
"241","3384","6","2","Book"
"242","9189","15","4","Book"
"243","9189","14","2","Book"
"244","9189","7","2","Book"
"245","16903","15","1","Book"
"246","16903","7","1","Book"
"247","7433","12","1","Book"
"248","7433","6","1","Book"
"249","4381","6","1","Book"
"250","22","11","1","Book"
"251","22","12","1","Book"
"252","1065","8","2","Book"
"253","1065","12","1","Book"
"254","1951","5","2","Book"
"255","1951","7","2","Book"
"256","343","7","24","Book"
"257","343","3","1","Book"
"258","861","7","42","Book"
"259","861","2","36","Book"
"260","861","10","2","Book"
"261","861","7","2","Book"
"262","861","1","1","Book"
"263","861","14","1","Book"
"264","1144","7","2","Book"
"265","1144","8","1","Book"
"266","7046","6","3","Book"
"267","7046","2","2","Book"
"268","7046","8","1","Book"
"269","7191","8","1","Book"
"270","1844","7","3","Book"
"271","2541","3","3","Book"
"272","2541","5","1","Book"
"273","5634","7","1","Book"
"274","7017","1","1","Book"
"275","7017","13","1","Book"
"276","7973","6","1","Book"
"277","4094","3","1","Book"
"278","437","7","10","Book"
"279","6194","3","2","Book"
"280","6194","7","2","Book"
"281","7795","6","1","Book"
"282","7795","2","1","Book"
"283","3922","6","2","Book"
"284","2331","10","2","Book"
"285","2331","2","1","Book"
"286","2956","2","4","Book"
"287","2956","9","2","Book"
"288","2956","7","1","Book"
"289","3499","2","5","Book"
"290","3499","9","2","Book"
"291","2971","15","2","Book"
"292","2971","7","2","Book"
"293","2918","9","3","Book"
"294","2918","10","2","Book"
"295","974","6","2","Book"
"296","5180","3","7","Book"
"297","5180","6","5","Book"
"298","5180","2","1","Book"
"299","3584","7","38","Book"
"300","3584","6","3","Book"
"301","8773","7","36","Book"
"302","878","13","1","Book"
"303","1145","8","1","Book"
"304","2236","2","1","Book"
"305","2236","7","1","Book"
"306","6429","6","1","Book"
"307","9178","7","1","Book"
"308","9178","3","1","Book"
"309","9178","14","1","Book"
"310","5749","6","3","Book"
"311","5749","14","1","Book"
"312","7089","7","11","Book"
"313","7089","3","8","Book"
"314","7089","14","5","Book"
"315","4549","4","3","Book"
"316","4549","6","1","Book"
"317","5422","7","1","Book"
"318","3517","10","2","Book"
"319","3517","7","1","Book"
"320","3517","6","1","Book"
"321","5373","6","1","Book"
"322","3249","2","1","Book"
"323","3249","8","1","Book"
"324","3249","11","1","Book"
"325","7117","7","5","Book"
"326","4819","5","1","Book"
"327","6180","6","1","Book"
"328","6180","8","1","Book"
"329","1471","6","6","Book"
"330","1471","2","2","Book"
"331","1471","14","1","Book"
"332","1858","7","1","Book"
"333","7615","3","1","Book"
"334","2968","4","2","Book"
"335","3718","2","1","Book"
"336","14027","6","2","Book"
"337","14027","7","2","Book"
"338","5308","6","9","Book"
"339","5308","4","1","Book"
"340","5308","12","1","Book"
"341","6096","6","1","Book"
"342","6096","8","1","Book"
"343","8319","15","1","Book"
"344","8319","7","1","Book"
"345","8319","3","1","Book"
"346","6023","7","28","Book"
"347","6023","10","1","Book"
"348","615","12","1","Book"
"349","2150","6","1","Book"
"350","311","12","2","Book"
"351","5155","7","1","Book"
"352","7073","2","3","Book"
"353","7073","10","1","Book"
"354","7073","14","1","Book"
"355","6558","12","1","Book"
"356","569","4","1","Book"
"357","3279","6","2","Book"
"358","3673","2","9","Book"
"359","3673","12","1","Book"
"360","4628","7","36","Book"
"361","3627","10","1","Book"
"362","8772","7","1","Book"
"363","6666","3","1","Book"
